Datetime,TSLA_price,ZM_price,AMZN_price,DAL_price,GOOGL_price,NFLX_price,NVS_price,PFE_price,TRIP_price
2020-03-24 09:30:00-04:00,477.29998779296875,154.0,1951.4949951171875,26.309999465942383,1103.97998046875,369.989990234375,73.91000366210938,29.510000228881836,18.110000610351562
2020-03-24 09:31:00-04:00,484.7699890136719,148.00999450683594,1941.0450439453125,25.078500747680664,1098.6300048828125,370.29998779296875,73.38999938964844,29.420000076293945,18.48419952392578
2020-03-24 09:32:00-04:00,489.5799865722656,147.04559326171875,1948.3499755859375,24.949399948120117,1101.8599853515625,369.7922058105469,73.4000015258789,29.389999389648438,18.549999237060547
2020-03-24 09:33:00-04:00,487.8399963378906,146.6085968017578,1952.655029296875,24.979999542236328,1102.0699462890625,367.0120849609375,73.41500091552734,29.350000381469727,18.25
2020-03-24 09:34:00-04:00,480.1700134277344,149.23899841308594,1952.969970703125,25.209999084472656,1108.81005859375,367.5,73.5,29.31999969482422,18.280000686645508
2020-03-24 09:35:00-04:00,483.0278015136719,151.9499969482422,1948.324951171875,25.450000762939453,1108.8199462890625,367.4700012207031,73.5199966430664,29.399999618530273,18.280000686645508
2020-03-24 09:36:00-04:00,482.9800109863281,148.52859497070312,1941.8404541015625,25.459999084472656,1102.739990234375,367.95599365234375,73.45999908447266,29.40999984741211,18.459999084472656
2020-03-24 09:37:00-04:00,482.42498779296875,148.9499969482422,1940.5400390625,25.728900909423828,1108.68505859375,366.95001220703125,73.41999816894531,29.6200008392334,18.443500518798828
2020-03-24 09:38:00-04:00,478.7477111816406,146.79100036621094,1934.72705078125,25.241600036621094,1106.3399658203125,365.8500061035156,73.28500366210938,29.479999542236328,18.3700008392334
2020-03-24 09:39:00-04:00,475.010009765625,145.50010681152344,1931.375,25.06999969482422,1102.8299560546875,365.1050109863281,73.1500015258789,29.25,18.209999084472656
2020-03-24 09:40:00-04:00,482.70001220703125,146.26499938964844,1935.699951171875,25.510000228881836,1105.0,365.0799865722656,73.1500015258789,29.420000076293945,18.239999771118164
2020-03-24 09:41:00-04:00,480.4700012207031,146.4199981689453,1939.56005859375,25.479999542236328,1106.489990234375,365.5299987792969,73.2300033569336,29.354999542236328,18.260000228881836
2020-03-24 09:42:00-04:00,478.4700012207031,145.0,1941.010009765625,25.360000610351562,1102.6300048828125,365.31500244140625,73.25,29.209999084472656,18.18000030517578
2020-03-24 09:43:00-04:00,475.8949890136719,142.28500366210938,1939.1300048828125,25.21500015258789,1101.1199951171875,365.0400085449219,73.04000091552734,29.1200008392334,18.170000076293945
2020-03-24 09:44:00-04:00,476.1600036621094,142.3249969482422,1936.199951171875,25.110000610351562,1105.5699462890625,365.4100036621094,73.02999877929688,29.06999969482422,18.114999771118164
2020-03-24 09:45:00-04:00,477.04998779296875,143.8800048828125,1936.7950439453125,24.934999465942383,1105.114990234375,364.2200012207031,72.94999694824219,29.110000610351562,18.049999237060547
2020-03-24 09:46:00-04:00,477.82000732421875,144.97000122070312,1936.75,25.085100173950195,1102.56494140625,363.3949890136719,73.06999969482422,29.190000534057617,17.920000076293945
2020-03-24 09:47:00-04:00,476.2300109863281,144.44000244140625,1937.9749755859375,25.050100326538086,1101.7099609375,364.18359375,73.05000305175781,29.26729965209961,17.860000610351562
2020-03-24 09:48:00-04:00,478.9549865722656,144.2449951171875,1941.8199462890625,25.075000762939453,1102.925048828125,367.5602111816406,73.22000122070312,29.25,17.86009979248047
2020-03-24 09:49:00-04:00,477.70001220703125,144.1649932861328,1940.6060791015625,25.09000015258789,1104.0,366.489990234375,73.23999786376953,29.19499969482422,17.77989959716797
2020-03-24 09:50:00-04:00,479.1099853515625,142.44070434570312,1936.9150390625,25.1299991607666,1102.43505859375,367.3299865722656,73.12000274658203,29.225000381469727,17.729999542236328
2020-03-24 09:51:00-04:00,479.79998779296875,142.52000427246094,1935.5,25.329999923706055,1104.7099609375,367.9800109863281,73.07009887695312,29.27989959716797,17.75
2020-03-24 09:52:00-04:00,481.75,141.0800018310547,1935.22998046875,25.100000381469727,1103.52001953125,366.3800048828125,73.22000122070312,29.2947998046875,17.81999969482422
2020-03-24 09:53:00-04:00,481.9649963378906,142.9199981689453,1940.441650390625,24.920000076293945,1106.2900390625,367.452392578125,73.2699966430664,29.290000915527344,17.780000686645508
2020-03-24 09:54:00-04:00,483.57000732421875,141.2100067138672,1944.505859375,25.100000381469727,1105.6099853515625,366.760009765625,73.33000183105469,29.299999237060547,17.889999389648438
2020-03-24 09:55:00-04:00,482.5,141.72999572753906,1940.4505615234375,25.139999389648438,1106.7950439453125,366.81500244140625,73.23999786376953,29.2549991607666,17.8799991607666
2020-03-24 09:56:00-04:00,481.9200134277344,142.52999877929688,1936.5201416015625,25.149999618530273,1102.7900390625,366.8900146484375,73.20999908447266,29.270000457763672,17.81999969482422
2020-03-24 09:57:00-04:00,480.8299865722656,143.66009521484375,1933.1099853515625,25.36989974975586,1101.1500244140625,366.8399963378906,73.2699966430664,29.239999771118164,17.700000762939453
2020-03-24 09:58:00-04:00,480.89349365234375,144.26100158691406,1929.469970703125,25.31999969482422,1092.800048828125,364.4599914550781,73.0199966430664,29.170000076293945,17.59000015258789
2020-03-24 09:59:00-04:00,484.0,143.00999450683594,1929.6300048828125,25.299999237060547,1091.050048828125,363.69000244140625,72.94339752197266,29.162799835205078,17.59000015258789
2020-03-24 10:00:00-04:00,483.9800109863281,142.7458953857422,1932.5,25.416200637817383,1096.6932373046875,364.25,73.06999969482422,29.06999969482422,17.6200008392334
