0,"$TSLA former 5dMA stubborn resistance is acting as a support now 🏋️‍♂️

35,"@stoolpresidente Here’s the easiest thing to do. Pick if you think $tsla will go up or down by Friday, then buy Calls or Puts. 

The market takes care of it from there",0,0,2020-03-28 22:59:15
36,Doughnates &amp; Coffee: @Tesla Gigafactory New York 🏣🗽 https://t.co/mUehXtG9fg via @BrianSwails | $TSLA #Tesla #TOCNYS @elonmusk,6,23,2020-03-28 22:58:19
37,"Am I understanding this correctly, if  you can't be ""in the black,"" financially with Tesla, the next best thing is to purchase a black $TSLA? 🤷‍♀️

#SoundLogic https://t.co/Mik25eCHqA",0,1,2020-03-28 22:55:44
38,"1553 

CORONAVIRUS map

____
https://t.co/C755WDmc3w
___
https://t.co/C755WDmc3w

usa 
coronavirus
cases 
map

saturday brunch
  french toast
coffee 
 gm ????
ford   et al 

$TSLA all electric 2020 million

 $  2.2 Trillion ?",0,0,2020-03-28 22:55:08
39,"I can't wait for the $TSLA coronavirus lawsuits.

I predict that discovery will reveal that, while Elon was insisting SpaceX and Tesla employees go to work, he was also insisting that his pregnant girlfriend stay quarantined.",2,21,2020-03-28 22:54:46
40,"Is @thirdrowtesla's Sofiaan Fraval admitting they record ALL their podcasts @ElonMusk's home in Bel Air? 

Did @Tesla attorneys approve?

@SEC_News does this violate $TSLA fraud agreement?
 
@TheJusticeDept @USDOT @NHTSA @FTC @FBI 
marketing an Adulterated &amp; Misbranded Autopilot? https://t.co/NwqwPULQya",7,14,2020-03-28 22:43:35
41,@stoolpresidente What’s is your stance on Tesla?  $tsla.  Traders love it.   $tslaq,0,0,2020-03-28 22:40:06
42,"$TSLA - As long as Autopilot doesn’t slam on the brakes, things such be just fine.

Is This A Serious Tesla Model Y Design Flaw? https://t.co/xs5sX3WEko",0,2,2020-03-28 22:39:53
43,"@bradsferguson @MarcDeMesel Who do you think is buying Tesla right now?  $tsla

https://t.co/u0dA4d1l2d",1,4,2020-03-28 22:31:29
44,Federal Judge Rules Permits For Dakota Access Pipeline Are Invalid https://t.co/6wS6WtANmz #TeamElon $TSLA #Tesla,0,1,2020-03-28 22:30:12
45,$TSLA  Model Y designer quit btw.  Guess we now know why.  Car should get redesigned or no sales due to incredible insurance rates.  Tesla looks and acts perfectly like a Ponzi bankrupt scheme should.  Enjoy ESG virtue signaling dummies. https://t.co/pFkIzXZ9Wy,0,2,2020-03-28 22:29:33
46,$TSLA 70% say shit the bed thus far,0,1,2020-03-28 22:26:55
47,Maybe it depends if the employees are forced to defy a county order and come to work ?  Dunno 🤷🏼‍♂️ $tsla. https://t.co/se2nPdXSNR,0,1,2020-03-28 22:25:16
48,"@TESLAcharts How many additional cases popping up at $TSLA that Elon didn’t or doesn’t want to disclose?

I don’t believe in their “only two employees tested positive for  CV” - even less so after the tweet above.

Sounds like Trump a month ago.",0,1,2020-03-28 22:25:01
49,Maybe he found a new... Boca chica.  $tsla $tslaq https://t.co/5IFgJGgnm4,0,3,2020-03-28 22:17:44
50,Futures trading system. Hybrid Multi-Strat 49: https://t.co/73Z8rSklC7 #futures #trading $ES_F $SPY $TSLA $AAPL $NFLX $FB,0,0,2020-03-28 22:17:09
51,@Blamblas @Wheels88Fortune It’s not irrelevant.  You can’t claim startup designation after almost 2 decades of un profitability despite receiving billions in government subsidies.  $TSLA,0,1,2020-03-28 22:16:55
52,"Be sure to comment with your chart requests below if you have not already!

$spx $spy $iwm $qqq $work $roku $tlt $tsla $uber $aapl $amzn $amd $shop $sbux $dis $fb $goog $rcl $lk $zm $cost $wmt $cmg $ba $baba $bynd $nflx $nvda $mcd $mu $msft $clx $ccl $vix $vxx $zm $ma $wynn $ibm https://t.co/Kg1G1DAjao",0,4,2020-03-28 22:15:33
53,"@LarrySabin1 @tslaqpodcast @TESLAcharts Hope he will get better soon. 

Another reason to believe that “only two CV cases” each at SpaceX and $TSLA are BS.  Real numbers could be much higher, no?

CC: @danahull @RMac18 @russ1mitchell",0,6,2020-03-28 22:14:14
54,Bagged @Tesla Model Y by Signature Customs 🚙⚡️🔌 https://t.co/0K4CONAa2M $TSLA #Tesla #ModelY #EV @elonmusk https://t.co/wMzVIvWKX0,1,8,2020-03-28 22:12:20
55,".@kirillklip: ""TNR Gold does not have to contribute any capital for development of Mariana and our NSR Royalty does not depend on the size of ILC’s potentially diluted ownership in the Mariana Project"". https://t.co/cb6loDzeZC #MarianaLithium JV $GNENF $TNR.v $LIT $BATT $TSLA https://t.co/eXnZ82or10",2,2,2020-03-28 22:11:51
56,@Sandro_power Watch the video and see for yourself. $tsla,0,0,2020-03-28 22:11:45
57,Unreal $tsla $tslaq https://t.co/g5R7PfKDx2,0,2,2020-03-28 22:09:05
58,Me but $tsla and then $ba $ba.d https://t.co/3k7NHgp8t1,3,33,2020-03-28 22:08:21
59,"@_mm85 I fully agree with you @_mm85; don't forget, @NIOGlobal has also been making a commendable effort in giving away supplies during this crisis, too.

#NIO $NIO $TSLA

https://t.co/t6ZYpCYnoK",0,10,2020-03-28 22:06:28
